Time,Date,Merchant,Gateway,Amount,Status,UTR,TXID
2:56:09 PM,9/27/2024,gennpay,airpay,500,success,427183437294,430482146
2:56:12 PM,9/27/2024,gennpay,airpay,1000,success,427197747755,430482158
2:57:02 PM,9/27/2024,gennpay,airpay,500,success,427134688109,430482472
2:57:08 PM,9/27/2024,gennpay,airpay,500,success,960977857467,430482523
2:57:20 PM,9/27/2024,gennpay,airpay,1000,success,427104042979,430482616
2:57:35 PM,9/27/2024,gennpay,airpay,500,failed,427131432649,430482706
2:57:52 PM,9/27/2024,gennpay,airpay,1000,success,256785181467,430482803
2:57:57 PM,9/27/2024,gennpay,airpay,1000,success,427102375097,430482850
2:58:21 PM,9/27/2024,gennpay,airpay,600,success,427131432259,430482992
2:58:47 PM,9/27/2024,gennpay,airpay,2000,success,427189002134,430483152
2:59:08 PM,9/27/2024,gennpay,airpay,2000,success,427174597853,430483291
2:59:12 PM,9/27/2024,gennpay,airpay,500,failed,,430483317
2:59:16 PM,9/27/2024,gennpay,airpay,500,success,427172632951,430483354
2:59:38 PM,9/27/2024,gennpay,airpay,700,success,427112143836,430483498
2:59:59 PM,9/27/2024,gennpay,airpay,600,success,427133162291,430483656
3:00:11 PM,9/27/2024,gennpay,airpay,500,success,427135354510,430483727
3:00:39 PM,9/27/2024,gennpay,airpay,500,success,427171244870,430483901
3:00:55 PM,9/27/2024,gennpay,airpay,1750,success,427146910147,430484022
3:01:13 PM,9/27/2024,gennpay,airpay,2000,success,427159668155,430484137
3:01:17 PM,9/27/2024,gennpay,airpay,1000,success,427178882204,430484166
3:02:02 PM,9/27/2024,gennpay,airpay,500,success,305751000547,430484440
3:02:13 PM,9/27/2024,gennpay,airpay,2200,success,463751670311,430484503
3:02:56 PM,9/27/2024,gennpay,airpay,500,success,427151463290,430484768
3:03:07 PM,9/27/2024,gennpay,airpay,1000,success,427159628721,430484836
3:03:28 PM,9/27/2024,gennpay,airpay,1000,success,427147281715,430484959
